LOC;Lat;Long
Km-103.1 Tarapoto-Yurimaguas; -6.006716136927445; -76.24025101153289
Limoncocha - El Carmen 2; -1.09256;-77.54583
Lumbaqui-Sucumbios;0.046657; -77.328316
Pacto town;0.145318; -78.76565
Pastaza;0.026339; -77.17611
Pipeline road 11.5km,;9.1714;-79.7573
Pipeline road 11km,;9.1714;-79.7573
Pipeline road 12.2km,;9.1714;-79.7573
Pipeline road 12.3km,;9.1714;-79.7573
Pipeline road 12km,;9.1714;-79.7573
Pipeline road 13km,;9.1714;-79.7573
Pipeline road 14km,;9.1714;-79.7573
Pipeline road 15km,;9.1714;-79.7573
Pipeline road 3 km,;9.1472;-79.7296
Pipeline road 3.2km,;9.1472;-79.7296
Pipeline road 3.3km,;9.1472;-79.7296
Pipeline road 3.7km,;9.1472;-79.7296
Pipeline road 3.9km,;9.1472;-79.7296
Pipeline road 3km,;9.1472;-79.7296
Pipeline road 4.3km,;9.1472;-79.7296
Pipeline road 4.5km,;9.1472;-79.7296
Pipeline road 4.6km,;9.1472;-79.7296
Pipeline road 4km,;9.1472;-79.7296
Pipeline road 5.2km,;9.1472;-79.7296
Pipeline road 5.4km,;9.1472;-79.7296
Pipeline road 5.5km,;9.1472;-79.7296
Pipeline road 5.6km,;9.1472;-79.7296
Pipeline road 5.7km,;9.1472;-79.7296
Pipeline road 5km,;9.1472;-79.7296
Pipeline road 6.6 km,;9.1472;-79.7296
Pipeline road 6km,;9.1472;-79.7296
Pipeline road 7km,;9.1472;-79.7296
Pipeline road 8.2km,;9.1472;-79.7296
Pipeline road,;9.129578901232627; -79.71538964401353
Puerto Nari«Òo- Quebrada aguas rojas;-3.770083;-70.339805
Puerto Vallarta;20.733085;-105.165502
Reserva Narupa, P10;0.6838;-77.73973
Reventador road; -0.01876;-77.52574
Road to Mashpi (116);0.18497;-78.85302
Tarapoto-Yurimaguas (Km8); -6.425721329539213;-76.30984910528213
Wild Sumaco Hummingbird Trail; -0.6647502970161504,; -77.59796335798808
Yasuni national park, 37 km; -1.1006233186196126; -75.80705840717201
Yasuni National Park, 47 km; -1.1006233186196126; -75.80705840717201
Zamora, Romerillos Guard Station PNP;-4.0653;-78.9587
