"";"ring";"N_units";"N_pairs";"BC_obs";"mean_BC";"BC_2.5";"BC_97.5";"p_value"
"1";"VANILLAE";16;120;0,951;0,955;0,912;0,983;0,332
"2";"IULIA";16;120;0,946;0,955;0,916;0,982;0,279
"3";"LYBIA";11;55;0,968;0,954;0,896;0,992;0,662
"4";"THELXIOPE";92;4186;0,913;0,955;0,94;0,967;0,001
"5";"HERMIAS";32;496;0,955;0,954;0,927;0,976;0,477
"6";"LYSIMNIA";9;36;0,899;0,955;0,884;0,996;0,05
"7";"ORESTES";15;105;0,812;0,955;0,907;0,984;0,001
"8";"MAMERCUS";44;946;0,952;0,954;0,932;0,971;0,374
"9";"PAVANA";4;6;0,978;0,954;0,803;1;0,531
"10";"EXCELSA";11;55;0,889;0,954;0,891;0,99;0,024
"11";"RICINI";11;55;0,932;0,956;0,899;0,99;0,145
"12";"AMALFREDA";19;171;0,836;0,954;0,913;0,983;0,001
"13";"WALLACEI";31;465;0,915;0,954;0,925;0,976;0,005
"14";"SALVINII";2;1;1;0,947;0,486;1;1
"15";"PAVONII";5;10;0,882;0,956;0,847;1;0,067
"16";"PHYLLIS";15;105;0,955;0,954;0,906;0,985;0,482
"17";"CHARITHONIA";8;28;0,994;0,954;0,864;0,997;0,939
"18";"LEUCE";9;36;0,902;0,955;0,883;0,993;0,047
"19";"CYDNIDES";6;15;0,88;0,957;0,864;1;0,041
"20";"CHIONEUS";5;10;0,702;0,955;0,845;1;0,002
"21";"CORDULA";3;3;0,999;0,957;0,764;1;0,571
"22";"HUMBOLDT";5;10;0,816;0,953;0,824;1;0,022
"23";"HYDARA";15;105;0,911;0,955;0,911;0,985;0,025
"24";"CHESTERTONII";1;0;NA;NA;NA;NA;NA
"25";"CYRBIA";2;1;0,172;0,947;0,52;1;0,001
"26";"XENOCLEA";2;1;0,395;0,955;0,568;1;0,012
"27";"NOTABILIS";2;1;0,182;0,951;0,535;1;0,001
"28";"MAELUS";8;28;0,847;0,955;0,877;0,997;0,006
"29";"LONGARENA";2;1;0,579;0,95;0,522;1;0,035
"30";"HERMATHENA";6;15;0,999;0,957;0,872;1;0,942
"31";"HEURIPPA";1;0;NA;NA;NA;NA;NA
"32";"PACHINUS";3;3;0,251;0,952;0,748;1;0,001
"33";"EURIMEDIA";1;0;NA;NA;NA;NA;NA
"34";"MOTHONE";3;3;0,816;0,95;0,738;1;0,083
"35";"CRETACEA";1;0;NA;NA;NA;NA;NA
"36";"TELESIPHE";4;6;0,634;0,959;0,833;1;0,002
"37";"DIDO";10;45;0,953;0,955;0,893;0,993;0,389
"38";"DERCYLLIDAS";4;6;0,899;0,954;0,794;1;0,143
"39";NA;NA;NA;NA;NA;NA;NA;NA
