"";"tribe";"ring";"N_units";"N_pairs";"MCD_obs";"mean_MCD_simul";"p_value";"Signif"
"1";"Heliconiini";"CHARITHONIA_largo";1;0;NA;NA;NA;NA
"2";"Heliconiini";"CHESTERTONII_largo";1;0;NA;NA;NA;NA
"3";"Heliconiini";"CYDNIDES_largo";7;21;0,532;0,915;0,02;"*"
"4";"Heliconiini";"DIDO_largo";5;10;0,767;0,788;0,484;NA
"5";"Heliconiini";"ELZUNIA_largo";5;10;1,531;0,898;0,996;NA
"6";"Heliconiini";"EURIMEDIA_largo";1;0;NA;NA;NA;NA
"7";"Heliconiini";"EXCELSA_largo";4;6;1,877;1,077;0,989;NA
"8";"Heliconiini";"HEURIPPA_largo";1;0;NA;NA;NA;NA
"9";"Heliconiini";"LEUCE_largo";5;10;1,288;1,012;0,859;NA
"10";"Heliconiini";"LYSIMNIA_largo";3;3;0,36;0,963;0,016;"*"
"11";"Heliconiini";"MAMERCUS_largo";8;28;0,822;0,974;0,204;NA
"12";"Heliconiini";"NOTABILIS_largo";2;1;0,495;1,306;0,099;NA
"13";"Heliconiini";"ORESTES_largo";6;15;0,452;0,963;0,003;"**"
"14";"Heliconiini";"PAVANA_largo";3;3;0,633;0,852;0,267;NA
"15";"Heliconiini";"POSTMAN_superlargo";7;21;1,106;1,047;0,626;NA
"16";"Heliconiini";"RICINI_largo";21;210;0,851;0,953;0,153;NA
"17";"Heliconiini";"VANILLAE_largo";10;45;0,967;0,991;0,484;NA
"18";"Heliconiini";"WALLACEI_largo";9;36;0,737;0,884;0,18;NA
"19";"Heliconiini";"XENOCLEA_largo";2;1;0,056;1,287;0,001;"***"
"20";"Ithomiini";"ACRISIONE_largo";1;0;NA;NA;NA;NA
"21";"Ithomiini";"AGNOSIA_largo";74;2701;0,702;0,965;0,001;"***"
"22";"Ithomiini";"AMALDA_largo";9;36;0,704;0,957;0,066;NA
"23";"Ithomiini";"AURELIANA_largo";12;66;0,526;1,054;0,002;"**"
"24";"Ithomiini";"BANJANAM_largo";42;861;0,789;1,005;0,006;"**"
"25";"Ithomiini";"CONFUSA_largo";19;171;0,762;0,942;0,072;NA
"26";"Ithomiini";"DERCYLLIDAS_largo";1;0;NA;NA;NA;NA
"27";"Ithomiini";"DILUCIDA_largo";35;595;0,619;1,005;0,001;"***"
"28";"Ithomiini";"DOTO_largo";12;66;0,522;1,037;0,001;"***"
"29";"Ithomiini";"DUESSA_largo";3;3;0,914;1,006;0,441;NA
"30";"Ithomiini";"DUILLIA_largo";3;3;0,194;0,762;0,007;"**"
"31";"Ithomiini";"EGRA_largo";10;45;0,225;1,024;0,001;"***"
"32";"Ithomiini";"ELZUNIA_largo";2;1;1,503;0,73;0,962;NA
"33";"Ithomiini";"EURIMEDIA_largo";33;528;0,873;0,95;0,204;NA
"34";"Ithomiini";"EXCELSA_largo";17;136;0,495;1,032;0,001;"***"
"35";"Ithomiini";"HEMIXANTHE_largo";5;10;0,346;1,074;0,001;"***"
"36";"Ithomiini";"HEWITSONI_largo";27;351;0,562;0,982;0,001;"***"
"37";"Ithomiini";"ILLINISSA_largo";6;15;0,279;1,079;0,001;"***"
"38";"Ithomiini";"LERIDA_largo";63;1953;0,811;0,964;0,011;"*"
"39";"Ithomiini";"LIBETHRIS_largo";20;190;0,661;0,955;0,004;"**"
"40";"Ithomiini";"LYSIMNIA_largo";4;6;0,24;1,031;0,001;"***"
"41";"Ithomiini";"MAMERCUS_largo";72;2556;0,7;0,994;0,001;"***"
"42";"Ithomiini";"MANTINEUS_largo";5;10;0,907;1,003;0,388;NA
"43";"Ithomiini";"MESTRA_largo";14;91;0,443;0,994;0,001;"***"
"44";"Ithomiini";"OCNA_largo";13;78;0,886;0,951;0,346;NA
"45";"Ithomiini";"ORESTES_largo";22;231;0,573;1,005;0,001;"***"
"46";"Ithomiini";"OZIA_largo";16;120;0,81;0,957;0,124;NA
"47";"Ithomiini";"PANTHYALE_largo";38;703;0,696;1,015;0,001;"***"
"48";"Ithomiini";"POLITA_largo";9;36;0,646;0,993;0,021;"*"
"49";"Ithomiini";"PRAESTANS_largo";1;0;NA;NA;NA;NA
"50";"Ithomiini";"PRAXILLA_largo";9;36;0,36;0,924;0,001;"***"
"51";"Ithomiini";"QUINTINA_largo";6;15;0,391;1,045;0,003;"**"
"52";"Ithomiini";"SINILIA_largo";8;28;0,558;1,046;0,01;"**"
"53";"Ithomiini";"SUSIANA_largo";18;153;0,656;0,959;0,009;"**"
"54";"Ithomiini";"THABENAF_largo";10;45;0,593;0,984;0,008;"**"
"55";"Ithomiini";"THEUDELINDA_largo";8;28;0,249;1,088;0,001;"***"
"56";"Ithomiini";"TICIDAM_largo";8;28;0,228;0,995;0,001;"***"
"57";"Ithomiini";"UMBROSA_largo";3;3;0,482;0,873;0,109;NA
"58";"Ithomiini";"VESTILLA_largo";1;0;NA;NA;NA;NA
"59";"Inter-tribe";"ELZUNIA_largo";7;10;1,061;0,955;0,673;NA
"60";"Inter-tribe";"EURIMEDIA_largo";34;33;0,675;0,964;0,099;NA
"61";"Inter-tribe";"EXCELSA_largo";21;68;1,03;1,015;0,565;NA
"62";"Inter-tribe";"LYSIMNIA_largo";7;12;0,339;0,981;0,002;"**"
"63";"Inter-tribe";"MAMERCUS_largo";80;576;0,689;0,991;0,002;"**"
"64";"Inter-tribe";"ORESTES_largo";28;132;0,469;0,997;0,001;"***"
